Site,Crinia signifera,Paracrinia haswelli,Limnodynastes dumerilli,Lim. peronii,Lim.tasmaniensis,Uperoleia laevigata,Litoria jervisiensis,Litoria peronii,Litoria verrreauxi,litoria dentata
1,yes,yes,,,,,yes,,yes,
2,yes,,,,,,yes,,yes,
3,,,,,yes,,yes,,,
4,yes,yes,,,,,yes,,yes,
5,yes,,,,,,yes,,yes,
6,,,,,yes,,yes,,,
7,yes,yes,,,,,,,y,
8,yes,yes,,,,,,,y,
9,yes,yes,,,,,,,y,
10,yes,Yes,,,Yes,,,,,
11,yes,Yes,,,Yes,,Yes,,,
12,Yes,Yes,,,Yes,,,,,
13,Yes,Yes,,,Yes,,Yes,,,
14,Yes,Yes,,,Yes,,Yes,,,
15,Yes,Yes,,,Yes,,,,,
16,yes,yes,,,yes,,yes,,,
17,yes,yes,,,yes,,yes,,,
18,yes,,,,,,yes,,,
19,yes,yes,,,yes,,,,yes,
20,yes,yes,,,,,,,yes,
21,yes,yes,,,,yes,,,yes,
22,yes,yes,,,,,yes,,,yes
23,yes,yes,,,yes,,,yes,,yes
24,yes,,,,yes,,yes,,,
25,yes,,,,,,yes,,yes,
26,yes,yes,,,,,yes,,yes,
27,yes,,,,,,yes,,,
28,yes,,,,yes,,yes,yes,yes,
29,yes,,,yes,yes,,yes,yes,yes,
30,yes,,,yes,,,,yes,yes,
31,yes,,,yes,,,yes,,,
32,yes,yes,,,,,,yes,yes,
33,yes,yes,,,,,yes,,yes,
34,Yes,Yes,,,Yes,,Yes,,,
35,Yes,Yes,,,Yes,,Yes,,,
36,Yes,Yes,,,Yes,,,,,
37,yes,yes,,,Yes,,,,yes,
38,yes,yes,,,Yes,,,,yes,
39,yes,yes,,,Yes,,,,yes,
40,yes,yes,,,,,yes,,yes,
41,yes,,,,,,yes,,,
42,yes,,,,,,yes,,,
